Name,Query,TransfermarktId
Jake Livermore,jake-livermore,61832
Lucas Digne,lucas-digne,126664
Mamadou Sakho,mamadou-sakho,47713
Héctor Moreno,hector-moreno,51046
Memphis Depay,memphis-depay,167850
Mathieu Michel,mathieu-michel,193142
Alejandro Palacios,alejandro-palacios,51048
Péter Gulácsi,peter-gulacsi,57071
Dany Cure,dany-cure,258740
José Luis Gómez,jose-luis-gomez,282357
Mattia Cassani,mattia-cassani,21859
Ogenyi Onazi,ogenyi-onazi,131709
Jonas Hofmann,jonas-hofmann,7161
Stefan Kießling,stefan-kiessling,6237
Joel Ward,joel-ward,92572
Gareth McAuley,gareth-mcauley,40567
Roberto Ovelar,roberto-ovelar,72984
Serdar Aziz,serdar-aziz,44996
Fin Bartels,fin-bartels,36207
Gerardo Alcoba,gerardo-alcoba,74233
Wilfried Zaha,wilfried-zaha,145988
Emil Forsberg,emil-forsberg,111078
Wissam Ben Yedder,wissam-ben-yedder,146854
Marc Albrighton,marc-albrighton,61560
Hakan Balta,hakan-balta,29494
Carlos Eduardo,carlos-eduardo,52406
Gabriel,gabriel,50703
Emiliano Rigoni,emiliano-rigoni,282544
Ilya Kutepov,ilya-kutepov,129096
Jordan Ferri,jordan-ferri,118284
Matías Fernández,matias-fernandez,37918
Steve Mandanda,steve-mandanda,23951
Paul Lasne,paul-lasne,93726
Luís Neto,luis-neto,56036
Hakim Ziyech,hakim-ziyech,217111
Lorenzo Crisetig,lorenzo-crisetig,110928
Giuseppe Vives,giuseppe-vives,42345
Márcio Azevedo,marcio-azevedo,55484
Willard Katsande,willard-katsande,160050
Óscar Duarte,oscar-duarte,175323
Claudio Bravo,claudio-bravo,40423
Iván Ramis,ivan-ramis,26066
Matt Ritchie,matt-ritchie,92469
Eric Bauthéac,eric-bautheac,111482
Éder Balanta,eder-balanta,265127
Josuha Guilavogui,josuha-guilavogui,93704
Medhi Benatia,medhi-benatia,45124
Eliaquim Mangala,eliaquim-mangala,90681
Laurent Depoitre,laurent-depoitre,90583
Emiliano Moretti,emiliano-moretti,5755
Rúben Ferreira,ruben-ferreira,644138
Anthony Knockaert,anthony-knockaert,149237
Yaroslav Rakitskyi,yaroslav-rakitskyi,89222
Bruno Gama,bruno-gama,15568
Carlos Carbonero,carlos-carbonero,136605
Varela,varela,31316
Moussa Dembélé,moussa-dembele,229004
Jérémy Sorbon,jeremy-sorbon,56820
Giovanni Sio,giovanni-sio,76293
Kevin-Prince Boateng,kevin-prince-boateng,16922
Borja Valero,borja-valero,40372
Riccardo Saponara,riccardo-saponara,88909
Gianluca Lapadula,gianluca-lapadula,130394
Sadio Diallo,sadio-diallo,137438
Jürgen Locadia,jurgen-locadia,166240
Cristian Pavón,cristian-pavon,373170
Steve Mounié,steve-mounie,238639
Clément Lenglet,clement-lenglet,182904
Fernandinho,fernandinho,26267
Bilal Başaçıkoğlu,bilal-basacikoglu,224256
David Ousted,david-ousted,22913
Arber Zeneli,arber-zeneli,900943
Grant Hanley,grant-hanley,121385
Morgan Schneiderlin,morgan-schneiderlin,56818
Marco Rojas,marco-rojas,114940
Lee Nguyen,lee-nguyen,37604
Aurélien Chedjou,aurelien-chedjou,45624
Fraser Forster,fraser-forster,52570
Paul-Georges Ntep,paul-georges-ntep,148955
Dodô,dodo,401529
Rudy Gestede,rudy-gestede,39908
Avilés Hurtado,aviles-hurtado,148713
David Luiz,david-luiz,46741
Omar Ramos,omar-ramos,58112
Jemerson,jemerson,258254
Sloan Privat,sloan-privat,66407
Arthur Masuaku,arthur-masuaku,181380
Raffael,raffael,19819
Lionel Carole,lionel-carole,11530
Christian Eriksen,christian-eriksen,69633
Miranda,miranda,33357
Saulo Decarli,saulo-decarli,154578
José Juan Vázquez,jose-juan-vazquez,203537
Ben Gibson,ben-gibson,128904
Steven Defour,steven-defour,33866
Sandro Wagner,sandro-wagner,39743
Rodrigo Rey,rodrigo-rey,166591
Oleg Ivanov,oleg-ivanov,16756
Fábio Espinho,fabio-espinho,114130
Lucas Biglia,lucas-biglia,26721
Didier Drogba,didier-drogba,3924
Nampalys Mendy,nampalys-mendy,111051
Kelechi Iheanacho,kelechi-iheanacho,295330
Moussa Konaté,moussa-konate,192774
Robbie Brady,robbie-brady,128229
André Ramalho,andre-ramalho,175792
Stephen Ireland,stephen-ireland,34838
Eric Dier,eric-dier,175722
Alex Pritchard,alex-pritchard,200777
Victor Moses,victor-moses,59866
Gaël Clichy,gael-clichy,7449
Antonino Ragusa,antonino-ragusa,102470
Itumeleng Khune,itumeleng-khune,39616
Lasse Sobiech,lasse-sobiech,79503
Panagiotis Tachtsidis,panagiotis-tachtsidis,62415
Kerem Demirbay,kerem-demirbay,125858
Caiuby,caiuby,54137
Stefano Sorrentino,stefano-sorrentino,21891
Felipe Mora,felipe-mora,176927
Jonathan Kodjia,jonathan-kodjia,88971
Marwin Hitz,marwin-hitz,59238
Fabian Schär,fabian-schar,135343
Romain Saïss,romain-saiss,204198
Mario Gaspar,mario-gaspar,73250
Mike Jensen,mike-jensen,43077
Abdelhamid El Kaoutari,abdelhamid-el-kaoutari,74615
Christian Mathenia,christian-mathenia,82361
Juanfran,juanfran,7542
Loïc Rémy,loic-remy,45121
Pelé,pele,17121
Naldo,naldo,32213
Matteo Bianchetti,matteo-bianchetti,160986
Emmanuel Adebayor,emmanuel-adebayor,8883
Marten de Roon,marten-de-roon,133179
Lucas Janson,lucas-janson,238448
